effort,defective,non-defective,benefit,cost
3008.0647787175976,108,891,82,4804.1438979
4422.999999983333,4,995,82,4804.1438979
4572.205158952382,8,991,82,4804.1438979
3281.528217583333,5,994,82,4804.1438979
1939.8833333333334,4,995,82,4804.1438979
425.4500000083333,4,995,82,4804.1438979
1794.1389611133334,5,994,82,4804.1438979
1025.2792903333334,5,994,82,4804.1438979
825.1388888566668,4,995,82,4804.1438979
4760.1,3,996,82,4804.1438979
1340.555556,1,998,82,4804.1438979
5847.491666683333,5,994,82,4804.1438979
9086.5,3,996,82,4804.1438979
3501.815914789418,13,986,82,4804.1438979
2094.3891511,5,994,82,4804.1438979
4030.5416669999995,4,995,82,4804.1438979
1545.8901098552378,7,992,82,4804.1438979
1301.4321428488097,8,991,82,4804.1438979
3785.1071428571427,7,992,82,4804.1438979
2814.777778,2,997,82,4804.1438979
1386.6166667,5,994,82,4804.1438979
2128.9131946666666,3,996,82,4804.1438979
4232.080829138095,7,992,82,4804.1438979
1855.2166666666665,6,993,82,4804.1438979
5554.106045866667,6,993,82,4804.1438979
1393.022222225,5,994,82,4804.1438979
662.7722222333334,6,993,82,4804.1438979
2415.0605818390477,7,992,82,4804.1438979
2103.430555666667,6,993,82,4804.1438979
744.9666666666666,6,993,82,4804.1438979
613.4444443983333,3,996,82,4804.1438979
900.2500000333333,4,995,82,4804.1438979
3309.8119047785717,7,992,82,4804.1438979
895.58333335,3,996,82,4804.1438979
4279.855555566666,4,995,82,4804.1438979
3867.100739372962,12,987,82,4804.1438979
659.555555575,5,994,82,4804.1438979
3005.355295133333,3,996,82,4804.1438979
859.7617657133333,5,994,82,4804.1438979
624.1353535453334,5,994,82,4804.1438979
1158.4343351549999,5,994,82,4804.1438979
3067.5721764198415,9,990,82,4804.1438979
3280.1136038,5,994,82,4804.1438979
2852.6407407333336,5,994,82,4804.1438979
582.2499999833333,4,995,82,4804.1438979
2530.216666683333,5,994,82,4804.1438979
3117.4482323166667,4,995,82,4804.1438979
1318.29898994,5,994,82,4804.1438979
3727.4,5,994,82,4804.1438979
1535.8410926054762,9,990,82,4804.1438979
5595.704761919049,8,991,82,4804.1438979
667.0508295833333,5,994,82,4804.1438979
1759.8857143073808,7,992,82,4804.1438979
2477.4633747999997,5,994,82,4804.1438979
2275.3478174761904,8,991,82,4804.1438979
1961.2375894499999,8,991,82,4804.1438979
1533.5222223983333,7,992,82,4804.1438979
1515.2544803,4,995,82,4804.1438979
808.8888889,3,996,82,4804.1438979
1642.0316877,5,994,82,4804.1438979
2492.6877779999995,4,995,82,4804.1438979
1498.9705555666667,6,993,82,4804.1438979
1659.0343870666668,5,994,82,4804.1438979
8586.709401716667,4,995,82,4804.1438979
180.0,1,998,82,4804.1438979
902.5632034916666,4,995,82,4804.1438979
707.3583333333333,4,995,82,4804.1438979
663.6833333333333,7,992,82,4804.1438979
4539.209656201548,10,989,82,4804.1438979
2417.2875372333333,3,996,82,4804.1438979
1491.25,4,995,82,4804.1438979
710.8894154666666,3,996,82,4804.1438979
1531.8333333333333,4,995,82,4804.1438979
2515.972222,4,995,82,4804.1438979
2616.0,2,997,82,4804.1438979
792.9555555666667,4,995,82,4804.1438979
1073.6267160883333,6,993,82,4804.1438979
1852.2257237203335,6,993,82,4804.1438979
1200.01843439,4,995,82,4804.1438979
3127.2083333333335,5,994,82,4804.1438979
498.7604895333333,3,996,82,4804.1438979
578.0997267500001,3,996,82,4804.1438979
2207.6159272095238,8,991,82,4804.1438979
1084.0,1,998,82,4804.1438979
1054.85437705,4,995,82,4804.1438979
450.84047623333333,5,994,82,4804.1438979
229.61111109999996,1,998,82,4804.1438979
586.2919463,2,997,82,4804.1438979
1277.8333333,2,997,82,4804.1438979
84.5,1,998,82,4804.1438979
465.08333333333337,3,996,82,4804.1438979
627.4499999666666,3,996,82,4804.1438979
2048.1000000000004,2,997,82,4804.1438979
425.9126847333333,3,996,82,4804.1438979
1427.2,4,995,82,4804.1438979
1302.5666666666666,6,993,82,4804.1438979
173.0,1,998,82,4804.1438979
1412.5555557683333,4,995,82,4804.1438979
1152.4166666666667,4,995,82,4804.1438979
1705.1452689696428,8,991,82,4804.1438979
