effort,defective,non-defective,benefit,cost
791.1067969356495,162,6262,571,6762.163628880001
565.4015309002092,28,6396,571,6762.163628880001
1189.4197167327295,37,6387,571,6762.163628880001
424.295296875352,22,6402,571,6762.163628880001
1683.351709167046,27,6397,571,6762.163628880001
612.0368038499055,27,6397,571,6762.163628880001
2558.3772169022877,33,6391,571,6762.163628880001
1552.1158201197745,42,6382,571,6762.163628880001
1684.1293661321706,37,6387,571,6762.163628880001
1027.4907405552692,25,6399,571,6762.163628880001
