effort,defective,non-defective
583.7893279,175,715
161.5833333,3,887
220.0833333,4,886
457.0123016,8,882
222.5,2,888
214.9740338,4,886
163.3087719,4,886
50.16666667,4,886
198.25,4,886
136.0166667,5,885
