effort,defective,non-defective,benefit,cost
467.59376237669994,176,3831,140,1424.86666667
112.6375294954377,24,3984,140,1424.86666667
72.62007575333334,14,3994,140,1424.86666667
144.08891806185343,20,3988,140,1424.86666667
160.77665317305667,22,3986,140,1424.86666667
18.00992063547619,12,3996,140,1424.86666667
46.377465187863024,24,3984,140,1424.86666667
135.35069444305557,24,3984,140,1424.86666667
377.3541666666667,11,3997,140,1424.86666667
46.67503501162465,21,3987,140,1424.86666667
197.05650179523812,18,3990,140,1424.86666667
429.3832251415585,14,3994,140,1424.86666667
99.48169955397437,24,3984,140,1424.86666667
187.46503806962136,22,3986,140,1424.86666667
99.95407267992063,26,3982,140,1424.86666667
77.02148163069369,16,3992,140,1424.86666667
116.15674603103174,15,3993,140,1424.86666667
282.3741635172736,23,3985,140,1424.86666667
88.48511904761902,26,3982,140,1424.86666667
79.9090909090909,14,3994,140,1424.86666667
148.46391369,11,3997,140,1424.86666667
391.53432696533173,19,3989,140,1424.86666667
158.37242882631747,17,3991,140,1424.86666667
317.49065653287875,16,3992,140,1424.86666667
39.61904761904762,22,3986,140,1424.86666667
145.7316699449008,25,3983,140,1424.86666667
116.06852926538544,21,3987,140,1424.86666667
55.61176470588235,17,3991,140,1424.86666667
145.39871332313132,14,3994,140,1424.86666667
87.02684937283423,24,3984,140,1424.86666667
299.0627705484849,16,3992,140,1424.86666667
72.16946041303031,20,3988,140,1424.86666667
139.2618504267949,13,3995,140,1424.86666667
60.22158743111888,18,3990,140,1424.86666667
124.47095959616792,16,3992,140,1424.86666667
29.757104660045833,24,3984,140,1424.86666667
63.69754572142857,20,3988,140,1424.86666667
49.69029793735676,22,3986,140,1424.86666667
14.654761904761903,22,3986,140,1424.86666667
71.71285962712645,25,3983,140,1424.86666667
196.7048622865918,18,3990,140,1424.86666667
193.48043035253122,21,3987,140,1424.86666667
121.54814815,19,3989,140,1424.86666667
176.92637675607503,21,3987,140,1424.86666667
95.46330197236763,19,3989,140,1424.86666667
33.60033210058314,17,3991,140,1424.86666667
224.71970328735907,21,3987,140,1424.86666667
65.5794642894643,20,3988,140,1424.86666667
131.42916666732145,18,3990,140,1424.86666667
224.70333676734433,16,3992,140,1424.86666667
24.250935966774087,23,3985,140,1424.86666667
83.29333167244639,28,3980,140,1424.86666667
154.53402457630952,21,3987,140,1424.86666667
80.6166749921079,19,3989,140,1424.86666667
138.8867882730015,20,3988,140,1424.86666667
101.53899171200706,22,3986,140,1424.86666667
61.422494172607806,17,3991,140,1424.86666667
125.99638694283384,18,3990,140,1424.86666667
44.254491343295456,24,3984,140,1424.86666667
229.09833325653128,19,3989,140,1424.86666667
58.13093621734539,24,3984,140,1424.86666667
45.84615385,11,3997,140,1424.86666667
162.49318181727273,14,3994,140,1424.86666667
245.79136821055084,24,3984,140,1424.86666667
417.37728772943143,23,3985,140,1424.86666667
352.3064115150466,27,3981,140,1424.86666667
146.03528689682543,22,3986,140,1424.86666667
136.85236947029912,14,3994,140,1424.86666667
115.3141174593809,22,3986,140,1424.86666667
102.29365078198413,15,3993,140,1424.86666667
226.8916993288966,24,3984,140,1424.86666667
131.3541042351648,24,3984,140,1424.86666667
153.57750410095238,11,3997,140,1424.86666667
61.339907888509806,24,3984,140,1424.86666667
48.98273155460317,15,3993,140,1424.86666667
92.67878787933333,17,3991,140,1424.86666667
80.68487945143171,20,3988,140,1424.86666667
226.90595238116072,16,3992,140,1424.86666667
403.966801196781,26,3982,140,1424.86666667
42.83326498115178,27,3981,140,1424.86666667
138.2691201709517,23,3985,140,1424.86666667
79.0569946974359,22,3986,140,1424.86666667
330.0132090170979,27,3981,140,1424.86666667
323.30439210912886,29,3979,140,1424.86666667
278.2147635773084,25,3983,140,1424.86666667
106.79030302282828,15,3993,140,1424.86666667
22.15798319327731,17,3991,140,1424.86666667
37.60524312681929,18,3990,140,1424.86666667
35.46212121333333,18,3990,140,1424.86666667
75.28461538378205,15,3993,140,1424.86666667
51.53932178122655,11,3997,140,1424.86666667
238.39652777666672,14,3994,140,1424.86666667
301.4499999998333,22,3986,140,1424.86666667
213.4163471485262,20,3988,140,1424.86666667
79.85001486572381,27,3981,140,1424.86666667
42.18162393134615,22,3986,140,1424.86666667
163.0215064973016,26,3982,140,1424.86666667
117.1660714252381,24,3984,140,1424.86666667
103.51181734675325,24,3984,140,1424.86666667
407.1886865587959,18,3990,140,1424.86666667
