bugzilla,columba,jdt,mozilla,platform,postgres
3549.128932,698.2935552,1508.5,3005.355295,136.6527778,698.7208333
3552.16647,703.988848,1326.475397,859.7617657,659.1666667,548.8689024
3590.89025,706.5708164,1405.183333,624.1353535,362.1666667,288.5259804
3560.626532,686.3701002,3929.45653,1158.434335,338.1666667,676.6666667
3557.475145,706.3241751,638.5,3067.572176,751.5,665.3777778
3560.558672,700.2455926,3324.183333,3280.113604,461.7,974.0583333
3563.848328,702.2219063,2175.05,2852.640741,866,460.4166667
3563.953358,697.7182573,3771.833333,582.25,826.5731481,820.9166667
3563.291794,698.8928253,998.4444444,2530.216667,261.0555556,573.1
3556.373441,701.9652616,3131.140476,3117.448232,217.3333333,489.75
3562.514762,693.8699782,1117.5,1318.29899,270.625,576.75
3551.074958,722.716081,2697.783334,3727.4,1171.333333,719
3550.415234,708.2887905,2819.083333,1535.841093,625.9931078,359.6
3557.436356,702.1202153,903.3333333,5595.704762,608,349.5083333
3556.971682,706.5598409,1064.333333,667.0508296,1390.6,735.35
3558.157141,702.7121441,1883.535714,1759.885714,1545.790476,146
3556.613278,702.3464503,1621.083333,2477.463375,721.0333333,438.9583333
3549.298462,703.9726919,1455.666667,2275.347817,593.6333333,646.8724206
3557.816339,701.675798,6934.671429,1961.237589,808.8583333,661.2722222
3554.490362,702.1637705,1953.916667,1533.522222,181.4166667,897.802381
3547.778476,702.8275011,466.75,1515.25448,718.1820513,99.52222222
3557.198661,701.1172508,640.3333333,808.8888889,584.2333333,820.5416667
3548.630962,701.8849887,1620.5,1642.031688,888.375,1324.637482
3554.533795,704.4789932,1213.115385,2492.687778,808.0833333,1484.571429
3558.909697,702.8761268,485.8611111,1498.970556,961.875,424.8333333
3546.76891,704.9592228,742.1666667,1659.034387,1035,1024.166667
3548.137319,704.8558601,3658.916667,8586.709402,922.8833333,675.7380952
3558.957354,703.1508537,4851.116667,180,434.5833333,283.5166667
3554.929017,702.3308615,2375.283333,902.5632035,513.25,197.5
3540.229861,704.5278096,2017.916667,707.3583333,722.0766667,197.3
3556.800609,703.9393324,2522.533333,663.6833333,643.3571429,362.5
