benefit,cost
0,0.0
1,46.26666667
2,86.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
3,254.0
4,267.6666667
0,0.0
0,0.0
5,237.55555560000002
0,0.0
0,0.0
0,0.0
6,213.88888890000004
7,360.59999999999997
0,0.0
8,219.6666667
0,0.0
9,57.111111109999996
0,0.0
10,55.09090909
0,0.0
11,117.9
12,94.375
0,0.0
13,169.7777778
14,248.33333329999996
0,0.0
0,0.0
15,16.5
16,288.0
0,0.0
17,146.0
18,158.0
19,207.40000000000003
0,0.0
20,9.0
21,44.25
22,13.33333333
23,137.00000000000003
0,0.0
0,0.0
0,0.0
24,214.5384615
0,0.0
0,0.0
25,154.76923080000003
26,278.0
27,11.0
28,101.2857143
0,0.0
29,178.8333333
0,0.0
0,0.0
0,0.0
30,26.0
31,43.99999999999999
32,157.2727273
33,136.5555556
0,0.0
0,0.0
0,0.0
0,0.0
34,194.59999999999997
0,0.0
0,0.0
0,0.0
0,0.0
35,826.6666667
36,21.07142857
0,0.0
37,194.5
38,28.0
39,250.0
0,0.0
40,142.0
41,455.0
0,0.0
42,315.8
0,0.0
0,0.0
0,0.0
0,0.0
43,432.2
44,197.1
45,189.25
0,0.0
46,69.42857143
0,0.0
0,0.0
47,14.77777778
0,0.0
48,10.8
0,0.0
0,0.0
0,0.0
49,17.8
0,0.0
50,153.44444440000004
0,0.0
0,0.0
51,204.75
0,0.0
52,7.571428571
0,0.0
53,59.66666667
0,0.0
54,264.3333333
0,0.0
0,0.0
55,77.22222222000002
56,22.85714286
57,267.5
58,33.23076923
59,65.25
0,0.0
0,0.0
60,34.0
61,106.49999999999999
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
62,168.0
0,0.0
63,470.50000000000006
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
64,57.23809524
0,0.0
65,205.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
66,153.77777779999997
0,0.0
0,0.0
0,0.0
67,111.25000000000001
0,0.0
68,149.3333333
0,0.0
0,0.0
0,0.0
0,0.0
69,304.3333333
70,304.33333330000005
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
71,516.5
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
72,184.99999999999997
73,80.75
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
74,399.0
0,0.0
0,0.0
0,0.0
75,661.5
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
76,119.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
77,470.33333329999994
78,75.44444444
0,0.0
0,0.0
79,447.0
0,0.0
80,1.0
0,0.0
0,0.0
81,1035.0
0,0.0
82,292.0
0,0.0
83,426.0
84,146.0
0,0.0
0,0.0
85,1035.0
0,0.0
86,1036.0
87,1036.0
0,0.0
0,0.0
88,1036.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
89,929.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
90,541.6666667
0,0.0
0,0.0
91,623.5
0,0.0
0,0.0
92,320.5
93,409.99999999999994
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
94,374.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
95,37.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
96,284.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
97,374.75000000000006
0,0.0
0,0.0
0,0.0
0,0.0
98,11.000000000000002
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
99,153.0
0,0.0
0,0.0
0,0.0
100,145.0
0,0.0
0,0.0
0,0.0
101,538.5
0,0.0
0,0.0
0,0.0
0,0.0
102,342.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
103,18.999999999999996
0,0.0
0,0.0
104,31.699999999999996
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
105,454.40000000000003
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
106,30.5
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
107,151.25000000000003
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
108,23.499999999999996
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
109,7.0
0,0.0
110,22.33333333
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
111,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
112,734.5
0,0.0
0,0.0
0,0.0
0,0.0
113,487.00000000000006
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
114,124.99999999999999
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
115,31.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
116,70.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
117,205.00000000000003
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
118,206.0
0,0.0
0,0.0
0,0.0
0,0.0
119,177.0
0,0.0
0,0.0
0,0.0
0,0.0
120,56.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
