bugzilla,columba,jdt,mozilla,platform,postgres
1270.519336,583.7893279,846.8995388,4967.110644,826.7532361,978.3101178
1107.5,161.5833333,593.2312863,3843.626802,1387.127659,734.0764575
976.75,220.0833333,487.4354213,4658.134463,1150.544729,808.6790412
715.3333333,457.0123016,615.4363289,3752.66029,1106.274137,1782.75476
638.8333333,222.5,1369.267614,4357.341757,1205.191895,920.8107616
1083.638889,214.9740338,1039.866087,3369.8956,980.1323671,1679.084152
570.8,163.3087719,1819.505851,5219.023053,1924.284226,741.4956627
1446.666667,50.16666667,815.558927,7196.326304,1860.992939,1550.08167
0,198.25,1231.813147,8143.567155,766.9122022,970.8566406
237.2777778,136.0166667,799.6806483,4006.266291,1260.35758,974.4706567
