bugzilla,columba,jdt,mozilla,platform,postgres
1247.403224,626.087031,845.3022086,4113.825757,896.9976729,883.0187174
1370.996429,361.125,1392.047732,5795.484829,976.9927892,1578.100906
698.5138528,421.2204514,1581.158017,3385.55387,1908.455763,1778.883049
1087.383333,134.5,1216.131706,3168.507443,1186.632606,3324.035996
808.9458333,256.2083333,1071.828319,3968.682741,1055.497279,1735.727694
783.7619048,376.5666667,1062.203628,4390.07177,1253.065482,2000.905922
858.3333333,330.5543956,746.8814684,4040.59334,1281.980985,969.8689731
987.5916667,289.6570767,1201.702699,4006.770026,1166.6619,1965.34108
1228.436508,252.2326027,1184.731267,4804.705284,1424.063375,1841.721554
860.0761905,308.2922619,927.6782138,4613.133669,1059.089906,2118.397776
