10,20,30,40,50,60,70,80,90
192,205,170,201,189,219,237,223,221
23,5,10,7,18,11,14,23,22
3,6,7,11,14,14,14,20,23
0,3,5,10,8,12,9,13,21
3,4,5,13,13,14,18,14,26
1,6,8,5,9,8,18,19,19
2,5,4,5,9,15,17,21,20
0,4,6,8,18,18,20,30,21
3,0,10,8,13,8,15,21,15
1,3,8,8,7,14,11,16,18
