effort,defective,non-defective,benefit,cost
846.89953880699,163,6914,1020,6065.7041964400005
593.2312863470328,35,7042,1020,6065.7041964400005
487.4354212808513,25,7052,1020,6065.7041964400005
615.4363288819435,31,7046,1020,6065.7041964400005
1369.2676137520223,44,7033,1020,6065.7041964400005
1039.8660866862697,33,7044,1020,6065.7041964400005
1819.50585113665,34,7043,1020,6065.7041964400005
815.5589270136965,37,7040,1020,6065.7041964400005
1231.81314694096,32,7045,1020,6065.7041964400005
799.6806483214202,34,7043,1020,6065.7041964400005
